id	hyphy_id	status	length_nt	reasons	stop_codons
PP_006WBLH.2	PP_006WBLH_2	kept	3420		
PP_006XDHK.5	PP_006XDHK_5	kept	3420		
PP_006XDJH.5	PP_006XDJH_5	kept	3420		
MN258191.1	MN258191_1	kept	3420		
MN258192.1	MN258192_1	kept	3420		
PV796317.1	PV796317_1	kept	3420		
PV808468.1	PV808468_1	kept	3420		
OP555724.1	OP555724_1	kept	3420		
PV808471.1	PV808471_1	kept	3420		
MT956619.1	MT956619_1	kept	3420		
OR405524.1	OR405524_1	kept	3420		
KY604962.1	KY604962_1	kept	3420		
MN258193.1	MN258193_1	kept	3420		
AF324901.2	AF324901_2	kept	3420		
MN258190.1	MN258190_1	kept	3420		
MN258189.1	MN258189_1	kept	3420		
MN850092.1	MN850092_1	kept	3420		
MN258195.1	MN258195_1	kept	3420		
MN258196.1	MN258196_1	kept	3420		
MN258198.1	MN258198_1	kept	3420		
MN258200.1	MN258200_1	kept	3420		
MN258202.1	MN258202_1	kept	3420		
MN258203.1	MN258203_1	kept	3420		
MN258204.1	MN258204_1	kept	3420		
MN258205.1	MN258205_1	kept	3420		
MN258207.1	MN258207_1	kept	3420		
MN258211.1	MN258211_1	kept	3420		
MN258218.1	MN258218_1	kept	3420		
MN258219.1	MN258219_1	kept	3420		
MN258220.1	MN258220_1	kept	3420		
MN258221.1	MN258221_1	kept	3420		
MN258213.1	MN258213_1	kept	3420		
MN258199.1	MN258199_1	kept	3420		
MN258201.1	MN258201_1	kept	3420		
MN258215.1	MN258215_1	kept	3420		
MN258222.1	MN258222_1	kept	3420		
MN258209.1	MN258209_1	kept	3420		
MN258214.1	MN258214_1	kept	3420		
MN258206.1	MN258206_1	kept	3420		
MN258208.1	MN258208_1	kept	3420		
MN258210.1	MN258210_1	kept	3420		
MN258212.1	MN258212_1	kept	3420		
MN258216.1	MN258216_1	kept	3420		
MN258217.1	MN258217_1	kept	3420		
MN258197.1	MN258197_1	kept	3420		
MN258194.1	MN258194_1	kept	3420		
MN850088.1	MN850088_1	kept	3420		
MN850089.1	MN850089_1	kept	3420		
MN850090.1	MN850090_1	kept	3420		
EU170189.1	EU170189_1	kept	3420		
EU170192.1	EU170192_1	kept	3420		
EU170188.1	EU170188_1	kept	3420		
EU170171.1	EU170171_1	kept	3420		
EU170177.1	EU170177_1	kept	3420		
EU543216.1	EU543216_1	kept	3420		
EU170169.1	EU170169_1	kept	3420		
EU170174.1	EU170174_1	kept	3420		
EU170175.1	EU170175_1	kept	3420		
EU170176.1	EU170176_1	kept	3420		
EU170170.1	EU170170_1	kept	3420		
EU170173.1	EU170173_1	kept	3420		
EU170172.1	EU170172_1	kept	3420		
AY970821.1	AY970821_1	kept	3420		
EU170162.1	EU170162_1	kept	3420		
EU170163.1	EU170163_1	kept	3420		
EU170164.1	EU170164_1	kept	3420		
EU170165.1	EU170165_1	kept	3420		
EU170166.1	EU170166_1	kept	3420		
EU170167.1	EU170167_1	kept	3420		
EU170168.1	EU170168_1	kept	3420		
PP058741.1	PP058741_1	kept	3420		
OQ092244.1	OQ092244_1	kept	3420		
MG953527.1	MG953527_1	kept	3420		
KF581135.1	KF581135_1	kept	3420		
AY963900.1	AY963900_1	kept	3420		
EU621721.1	EU621721_1	kept	3420		
EU621722.1	EU621722_1	kept	3420		
EU543217.1	EU543217_1	kept	3420		
EF495338.1	EF495338_1	kept	3420		
NC_077670.1	NC_077670_1	kept	3420		
EF495339.1	EF495339_1	kept	3420		
EF495340.1	EF495340_1	kept	3420		
AH011226.2	AH011226_2	kept	3420		
