id	hyphy_id	status	length_nt	reasons	stop_codons
MN258242.1	MN258242_1	kept	1284		
MN850083.1	MN850083_1	kept	1284		
MN850084.1	MN850084_1	kept	1284		
MN850085.1	MN850085_1	kept	1284		
MN850087.1	MN850087_1	kept	1284		
MN850086.1	MN850086_1	kept	1284		
EU241684.1	EU241684_1	kept	1284		
EU241665.1	EU241665_1	kept	1284		
EU241666.1	EU241666_1	kept	1284		
EU241667.1	EU241667_1	kept	1284		
EU241691.1	EU241691_1	kept	1284		
EU241668.1	EU241668_1	kept	1284		
EU241670.1	EU241670_1	kept	1284		
EU241671.1	EU241671_1	kept	1284		
EU543991.1	EU543991_1	kept	1284		
EU241669.1	EU241669_1	kept	1284		
EU241674.1	EU241674_1	kept	1284		
EU241689.1	EU241689_1	kept	1284		
EU241690.1	EU241690_1	kept	1284		
EU241672.1	EU241672_1	kept	1284		
EU241673.1	EU241673_1	kept	1284		
EU241675.1	EU241675_1	kept	1284		
EU241676.1	EU241676_1	kept	1284		
EU241693.1	EU241693_1	kept	1284		
EU241692.1	EU241692_1	kept	1284		
OR875982.1	OR875982_1	kept	1284		
OP555730.1	OP555730_1	kept	1284		
PP504847.1	PP504847_1	kept	1284		
OR908884.1	OR908884_1	kept	1284		
OR908885.1	OR908885_1	kept	1284		
OR908887.1	OR908887_1	kept	1284		
OR908886.1	OR908886_1	kept	1284		
OR908888.1	OR908888_1	kept	1284		
OR908889.1	OR908889_1	kept	1284		
OR908890.1	OR908890_1	kept	1284		
OR908894.1	OR908894_1	kept	1284		
OR908895.1	OR908895_1	kept	1284		
OR908891.1	OR908891_1	kept	1284		
OR908892.1	OR908892_1	kept	1284		
OR908893.1	OR908893_1	kept	1284		
AF482715.1	AF482715_1	kept	1284		
AF442561.1	AF442561_1	kept	1284		
AF325966.1	AF325966_1	kept	1284		
PP504848.1	PP504848_1	kept	1284		
AF482713.1	AF482713_1	kept	1284		
AF442563.1	AF442563_1	kept	1284		
OR908896.1	OR908896_1	kept	1284		
ON544081.1	ON544081_1	kept	1284		
ON544084.1	ON544084_1	kept	1284		
OR908897.1	OR908897_1	kept	1284		
PP058740.1	PP058740_1	kept	1284		
MH844518.1	MH844518_1	kept	1284		
MH844519.1	MH844519_1	kept	1284		
MH844520.1	MH844520_1	kept	1284		
MH844521.1	MH844521_1	kept	1284		
OR908898.1	OR908898_1	kept	1284		
AF482714.1	AF482714_1	kept	1284		
OR890439.1	OR890439_1	kept	1284		
OL840325.1	OL840325_1	kept	1284		
DQ345763.1	DQ345763_1	kept	1284		
AY515593.1	AY515593_1	kept	1284		
ON544080.1	ON544080_1	kept	1284		
ON544082.1	ON544082_1	kept	1284		
ON544083.1	ON544083_1	kept	1284		
KF581134.1	KF581134_1	kept	1284		
JF750417.1	JF750417_1	kept	1284		
JF750419.1	JF750419_1	kept	1284		
JF750418.1	JF750418_1	kept	1284		
OQ092245.1	OQ092245_1	kept	1284		
MH844522.1	MH844522_1	kept	1284		
MH844523.1	MH844523_1	kept	1284		
AF482717.1	AF482717_1	kept	1284		
KP202360.1		dropped	1284	stop_codon	427:TAA
EU170207.1	EU170207_1	kept	1284		
EU170208.1	EU170208_1	kept	1284		
MF094267.1	MF094267_1	kept	1284		
MF094268.1	MF094268_1	kept	1284		
MF094269.1	MF094269_1	kept	1284		
EF571895.1	EF571895_1	kept	1284		
EU170225.1	EU170225_1	kept	1284		
EU170226.1	EU170226_1	kept	1284		
EU170227.1	EU170227_1	kept	1284		
EU170228.1	EU170228_1	kept	1284		
EU170231.1	EU170231_1	kept	1284		
EU170232.1	EU170232_1	kept	1284		
EU170235.1	EU170235_1	kept	1284		
EU170236.1	EU170236_1	kept	1284		
EU170237.1	EU170237_1	kept	1284		
EU170238.1	EU170238_1	kept	1284		
EU170239.1	EU170239_1	kept	1284		
EU170212.1	EU170212_1	kept	1284		
EU170224.1	EU170224_1	kept	1284		
EU170213.1	EU170213_1	kept	1284		
EU170209.1	EU170209_1	kept	1284		
EU170214.1	EU170214_1	kept	1284		
EU170223.1	EU170223_1	kept	1284		
EU170222.1	EU170222_1	kept	1284		
EU170210.1	EU170210_1	kept	1284		
EU170234.1	EU170234_1	kept	1284		
EU170211.1	EU170211_1	kept	1284		
EU170230.1	EU170230_1	kept	1284		
EU170229.1	EU170229_1	kept	1284		
EU170233.1	EU170233_1	kept	1284		
EU170215.1	EU170215_1	kept	1284		
EU170218.1	EU170218_1	kept	1284		
EU170219.1	EU170219_1	kept	1284		
EU170220.1	EU170220_1	kept	1284		
EU170221.1	EU170221_1	kept	1284		
EU170216.1	EU170216_1	kept	1284		
EU170217.1	EU170217_1	kept	1284		
AF482716.1	AF482716_1	kept	1284		
NC_077669.1	NC_077669_1	kept	1284		
